Origin,Org_Lat,Org_Lon,Dest,Dest_Lat,Dest_Lon,Day_Of_Week,Avg_Delay
BDL,41.938889,-72.683222,PHL,39.871944,-75.241139,3,2.40
IAH,29.984433,-95.341442,DEN,39.861656,-104.673178,1,14.35
PHL,39.871944,-75.241139,RSW,26.536167,-81.755167,1,6.98
ORD,41.978603,-87.904842,DSM,41.533972,-93.663083,6,12.46
MSY,29.993389,-90.258028,BOS,42.364347,-71.005181,3,18.11
DFW,32.896828,-97.037997,SAN,32.733556,-117.189667,3,14.81
BHM,33.562942,-86.75355,HOU,29.645419,-95.278889,0,9.78
BWI,39.175361,-76.668333,MDW,41.785972,-87.752417,2,12.79
AUS,30.194528,-97.669889,DFW,32.896828,-97.037997,4,7.72
SEA,47.449,-122.309306,ORD,41.978603,-87.904842,3,11.57
SEA,47.449,-122.309306,LGB,33.817722,-118.151611,4,2.98
EWR,40.6925,-74.168667,JAC,43.607333333,-110.73775,1,5.25
DEN,39.861656,-104.673178,BMI,40.477111,-88.915917,4,3.63
BDL,41.938889,-72.683222,MCO,28.429394,-81.308994,0,10.28
OAK,37.721278,-122.220722,BWI,39.175361,-76.668333,2,14.80
MSY,29.993389,-90.258028,EYW,24.556111,-81.759556,6,3.20
EWR,40.6925,-74.168667,DFW,32.896828,-97.037997,3,17.13
ONT,34.056,-117.601194,PHX,33.434278,-112.011583,0,5.82
DCA,38.852083,-77.037722,PIT,40.491467,-80.232872,1,87.00
DEN,39.861656,-104.673178,FLL,26.072583,-80.15275,4,13.51
MCO,28.429394,-81.308994,SAN,32.733556,-117.189667,1,9.93
JAX,30.494056,-81.687861,BNA,36.124472,-86.678194,5,6.93
CAE,33.938833,-81.119528,IAH,29.984433,-95.341442,5,13.00
ORD,41.978603,-87.904842,IAD,38.944533,-77.455811,6,15.22
RNO,39.499108,-119.768108,IAH,29.984433,-95.341442,6,11.24
JFK,40.639751,-73.778925,PDX,45.588722,-122.5975,1,14.85
