Origin,Org_Lat,Org_Lon,Dest,Dest_Lat,Dest_Lon,Time_Of_Day,Avg_Delay
ATL,33.636719,-84.428067,ICT,37.649944,-97.433056,19,7.65
DTW,42.212444,-83.353389,BUF,42.940525,-78.732167,9,6.10
LAS,36.080056,-115.15225,MAF,31.942528,-102.201914,11,4.10
DFW,32.896828,-97.037997,GSO,36.09775,-79.937306,19,18.06
IAH,29.984433,-95.341442,CLE,41.411689,-81.849794,18,20.33
CAK,40.9160833,-81.4421944,TYS,35.810972,-83.994028,15,1236.00
CVG,39.048836,-84.667822,DTW,42.212444,-83.353389,8,-2.00
MCO,28.429394,-81.308994,JAN,32.311167,-90.075889,12,14.09
LAS,36.080056,-115.15225,BWI,39.175361,-76.668333,23,11.03
ORD,41.978603,-87.904842,DSM,41.533972,-93.663083,6,3.40
AUS,30.194528,-97.669889,PDX,45.588722,-122.5975,18,19.86
PIT,40.491467,-80.232872,JFK,40.639751,-73.778925,12,2.65
CRP,27.770361,-97.501222,HOU,29.645419,-95.278889,6,0.24
ORD,41.978603,-87.904842,SDF,38.1740858,-85.7364989,14,20.21
BOS,42.364347,-71.005181,PHX,33.434278,-112.011583,15,195.00
SLC,40.788389,-111.977772,BOI,43.564361,-116.222861,23,17.50
MSY,29.993389,-90.258028,BHM,33.562942,-86.75355,17,17.67
SFO,37.618972,-122.374889,ONT,34.056,-117.601194,17,6.11
GSO,36.09775,-79.937306,CLT,35.214,-80.943139,17,6.10
SAV,32.127583,-81.202139,EWR,40.6925,-74.168667,16,55.90
STL,38.748697,-90.370028,RDU,35.877639,-78.787472,14,14.43
BWI,39.175361,-76.668333,CVG,39.048836,-84.667822,9,13.11
SMF,38.695417,-121.590778,PDX,45.588722,-122.5975,20,16.12
GEG,47.619861,-117.533833,SEA,47.449,-122.309306,15,-5.55
AUS,30.194528,-97.669889,DEN,39.861656,-104.673178,17,26.76
ROC,43.118866,-77.672389,ATL,33.636719,-84.428067,7,-4.41
EWR,40.6925,-74.168667,IAH,29.984433,-95.341442,14,18.04
IAD,38.944533,-77.455811,CVG,39.048836,-84.667822,17,14.79
HOU,29.645419,-95.278889,SEA,47.449,-122.309306,9,14.70
LAS,36.080056,-115.15225,BUF,42.940525,-78.732167,15,14.80
JAX,30.494056,-81.687861,JFK,40.639751,-73.778925,14,20.44
SMF,38.695417,-121.590778,BUR,34.200667,-118.358667,14,8.80
BWI,39.175361,-76.668333,LIT,34.729444,-92.224306,17,36.75
OGG,20.89865,-156.430458,SMF,38.695417,-121.590778,12,-1.40
ORD,41.978603,-87.904842,MCI,39.297606,-94.713905,9,11.95
ABQ,35.0402222,-106.6091944,ORD,41.978603,-87.904842,12,23.59
DEN,39.861656,-104.673178,DFW,32.896828,-97.037997,11,11.19
MDW,41.785972,-87.752417,MHT,42.932556,-71.435667,18,17.47
ROC,43.118866,-77.672389,CLE,41.411689,-81.849794,13,39.83
HOU,29.645419,-95.278889,RDU,35.877639,-78.787472,20,23.31
DTW,42.212444,-83.353389,CVG,39.048836,-84.667822,22,26.13
MSP,44.881956,-93.221767,TUL,36.198389,-95.888111,16,-8.00
PIT,40.491467,-80.232872,BOS,42.364347,-71.005181,19,14.87
ANC,61.174361,-149.996361,SEA,47.449,-122.309306,7,-3.11
EWR,40.6925,-74.168667,OMA,41.303167,-95.894069,17,4.33
MSN,43.139858,-89.337514,ATL,33.636719,-84.428067,15,-4.60
DTW,42.212444,-83.353389,IAD,38.944533,-77.455811,18,-4.00
MIA,25.79325,-80.290556,BOS,42.364347,-71.005181,12,12.84
LAX,33.942536,-118.408075,BOS,42.364347,-71.005181,16,7.03
RNO,39.499108,-119.768108,IAH,29.984433,-95.341442,6,-3.00
SFO,37.618972,-122.374889,OGG,20.89865,-156.430458,15,17.76
MDW,41.785972,-87.752417,CAK,40.9160833,-81.4421944,15,-0.39
CAK,40.9160833,-81.4421944,DTW,42.212444,-83.353389,9,-3.00
LAX,33.942536,-118.408075,SFO,37.618972,-122.374889,5,-2.43
DFW,32.896828,-97.037997,PNS,30.473425,-87.186611,19,10.16
BHM,33.562942,-86.75355,DFW,32.896828,-97.037997,20,-1.50
DEN,39.861656,-104.673178,JAX,30.494056,-81.687861,15,32.45
MCI,39.297606,-94.713905,BWI,39.175361,-76.668333,20,27.02
DSM,41.533972,-93.663083,PHX,33.434278,-112.011583,14,1.32
SEA,47.449,-122.309306,DEN,39.861656,-104.673178,21,37.76
ORD,41.978603,-87.904842,SEA,47.449,-122.309306,12,14.59
LAS,36.080056,-115.15225,MDW,41.785972,-87.752417,15,13.21
DFW,32.896828,-97.037997,PIT,40.491467,-80.232872,7,4.23
JFK,40.639751,-73.778925,PHL,39.871944,-75.241139,9,14.75
IAD,38.944533,-77.455811,SEA,47.449,-122.309306,9,-7.00
IAH,29.984433,-95.341442,MIA,25.79325,-80.290556,6,4.38
MKE,42.947222,-87.896583,DEN,39.861656,-104.673178,8,6.56
SFO,37.618972,-122.374889,BUR,34.200667,-118.358667,9,5.11
DFW,32.896828,-97.037997,VPS,30.48325,-86.5254,11,14.02
DFW,32.896828,-97.037997,MSY,29.993389,-90.258028,20,11.74
IAH,29.984433,-95.341442,BOS,42.364347,-71.005181,13,14.43
BHM,33.562942,-86.75355,MIA,25.79325,-80.290556,14,-0.52
HRL,26.2285,-97.654389,HOU,29.645419,-95.278889,7,0.56
RNO,39.499108,-119.768108,DEN,39.861656,-104.673178,14,14.30
PNS,30.473425,-87.186611,ATL,33.636719,-84.428067,18,8.69
ORD,41.978603,-87.904842,AVL,35.436194,-82.541806,17,13.62
JFK,40.639751,-73.778925,RDU,35.877639,-78.787472,17,18.48
TYS,35.810972,-83.994028,IAD,38.944533,-77.455811,5,4.96
LAX,33.942536,-118.408075,MDW,41.785972,-87.752417,14,17.21
BHM,33.562942,-86.75355,ORD,41.978603,-87.904842,17,18.00
BWI,39.175361,-76.668333,ROC,43.118866,-77.672389,23,12.29
CLE,41.411689,-81.849794,RDU,35.877639,-78.787472,15,5.38
AUS,30.194528,-97.669889,MEM,35.042417,-89.976667,17,-0.39
SEA,47.449,-122.309306,ORD,41.978603,-87.904842,8,7.11
BOS,42.364347,-71.005181,RDU,35.877639,-78.787472,10,4.10
MCI,39.297606,-94.713905,IAH,29.984433,-95.341442,6,6.00
BWI,39.175361,-76.668333,RDU,35.877639,-78.787472,21,17.44
IAD,38.944533,-77.455811,OKC,35.393089,-97.600733,20,2.57
IAD,38.944533,-77.455811,BUF,42.940525,-78.732167,13,-7.00
ORD,41.978603,-87.904842,GRR,42.880833,-85.522806,21,18.96
BHM,33.562942,-86.75355,MCO,28.429394,-81.308994,19,20.97
EGE,39.642556,-106.917694,DFW,32.896828,-97.037997,14,25.75
ATL,33.636719,-84.428067,SRQ,27.395444,-82.554389,15,4.63
DFW,32.896828,-97.037997,MSP,44.881956,-93.221767,20,19.26
ORD,41.978603,-87.904842,SEA,47.449,-122.309306,17,19.22
MKE,42.947222,-87.896583,PHX,33.434278,-112.011583,7,-0.35
BOS,42.364347,-71.005181,CMH,39.997972,-82.891889,14,16.40
BOS,42.364347,-71.005181,BWI,39.175361,-76.668333,8,1.69
ORD,41.978603,-87.904842,OMA,41.303167,-95.894069,10,12.24
CVG,39.048836,-84.667822,PHL,39.871944,-75.241139,20,14.65
TPA,27.975472,-82.53325,MKE,42.947222,-87.896583,18,24.02
ORD,41.978603,-87.904842,ABQ,35.0402222,-106.6091944,12,-3.00
ORD,41.978603,-87.904842,DEN,39.861656,-104.673178,8,13.23
BOS,42.364347,-71.005181,CAK,40.9160833,-81.4421944,6,7.45
BWI,39.175361,-76.668333,AUS,30.194528,-97.669889,22,2.91
SFO,37.618972,-122.374889,JFK,40.639751,-73.778925,6,-0.51
PBI,26.683161,-80.095589,IAH,29.984433,-95.341442,5,7.44
RIC,37.505167,-77.319667,JFK,40.639751,-73.778925,6,-0.31
MDW,41.785972,-87.752417,SNA,33.675667,-117.868222,10,12.53
EWR,40.6925,-74.168667,SDF,38.1740858,-85.7364989,11,-4.40
ATL,33.636719,-84.428067,LEX,38.0365,-84.605889,23,4.84
SLC,40.788389,-111.977772,GEG,47.619861,-117.533833,16,6.21
BTR,30.533167,-91.149639,MEM,35.042417,-89.976667,6,10.12
DFW,32.896828,-97.037997,DCA,38.852083,-77.037722,16,9.40
SAT,29.533694,-98.469778,MSY,29.993389,-90.258028,12,0.35
BWI,39.175361,-76.668333,ORF,36.894611,-76.201222,21,17.47
ORD,41.978603,-87.904842,BTV,44.471861,-73.153278,18,16.84
MCO,28.429394,-81.308994,RDU,35.877639,-78.787472,12,11.79
DTW,42.212444,-83.353389,MIA,25.79325,-80.290556,9,1.00
