flight_no,airline,duration,price,most_common_depart_day,most_common_depart_time,most_common_meal,most_common_equipment,avg_on_time,departure airport,departure city,arrival airport,arrival city
1825,Cape Air,68,635.7149153,Tuesday,12:55:00,,Cessna,-1,"Boston, USA",BOS,"Albany, USA",ALB
3804,American Airlines,94,251.4666667,Thursday,7:50:00,,Canadair RJ,-1,"Boston, USA",BOS,"Buffalo, USA",BUF
3703,United,90,158.3,Saturday,10:19:00,,Embraer EMB-145,-1,"Boston, USA",BOS,"Newark, USA",EWR
2443,Delta,133,283.7173782,Tuesday,12:30:00,,Airbus A319,90,"Boston, USA",BOS,"Detroit, USA",DTW
1934,Delta,135,351.7684896,Thursday,14:35:00,,BOEING (DOUGLAS) MD-88,70,"Boston, USA",BOS,"Detroit, USA",DTW
1186,American Airlines,251,235.2359924,Saturday,14:36:00,Food For Purchase,Boeing 737-800,-1,"Boston, USA",BOS,"Dallas, USA",DFW
433,United,388,306.6522717,Friday,6:05:00,Food For Purchase,Boeing 757 (757-300),90,"Boston, USA",BOS,"San Francisco, USA",SFO
3798,American Airlines,92,362.9496667,Wednesday,9:30:00,,Canadair RJ,-1,"Boston, USA",BOS,"Buffalo, USA",BUF
2265,Delta,91,215.3516667,Saturday,17:10:00,,Boeing 717,80,"Boston, USA",BOS,"New York, USA",JFK
1700,Delta,181,273.7299142,Thursday,18:30:00,Refreshment for purchase,Boeing 757,10,"Boston, USA",BOS,"Atlanta, USA",ATL
2591,American Airlines,176,252.9502135,Saturday,16:30:00,Food For Purchase,Boeing 737-800,-1,"Boston, USA",BOS,"Chicago, USA",ORD
524,American Airlines,102,270.1781993,Saturday,7:00:00,,Airbus A321,100,"Boston, USA",BOS,"Philadelphia, USA",PHL
2173,American Airlines,97,241.4964865,Thursday,8:00:00,,Airbus A319,90,"Boston, USA",BOS,"Washington, USA",DCA
4252,Delta,125,459.2,Thursday,19:40:00,,,90,"Boston, USA",BOS,"Raleigh, USA",RDU
3410,Delta,142,410,Saturday,19:40:00,,EMBRAER 170,100,"Boston, USA",BOS,"Columbus, USA",CMH
1165,American Airlines,69,148.86824,Monday,6:20:00,,Boeing 737-800,100,"Boston, USA",BOS,"New York, USA",JFK
879,American Airlines,149,403.5873684,Saturday,7:50:00,Food For Purchase,Airbus A321,90,"Boston, USA",BOS,"Charlotte, USA",CLT
4089,Delta,85,354.0132759,Saturday,14:55:00,,,90,"Boston, USA",BOS,"New York, USA",JFK
1299,American Airlines,171,205.6197222,Saturday,12:20:00,Food For Purchase,Boeing 737-800,100,"Boston, USA",BOS,"Chicago, USA",ORD
554,Spirit Airlines,173,128.4178295,Wednesday,17:00:00,,Airbus A319,-1,"Boston, USA",BOS,"Atlanta, USA",ATL
3791,Delta,85,311.8723529,Friday,14:50:00,,,90,"Boston, USA",BOS,"New York, USA",JFK
2657,Delta,375,246.1933333,Saturday,7:00:00,Food For Purchase,BOEING 737-800 (WINGLETS) PASSENGER,-1,"Boston, USA",BOS,"Seattle, USA",SEA
