duration,distance,week score,price
55,178,624,61
68,1384,624,74
123,1016,624,94
74,442,624,108
95,595,624,124
119,904,624,134
126,1189,624,177
174,1393,624,188
262,2513,624,188
102,449,624,205
122,987,624,218
78,300,624,227
149,1172,624,229
384,4184,624,247
105,771,624,247
112,798,624,248
90,635,624,248
270,2590,624,252
102,664,624,255
101,666,624,267
160,1452,624,275
153,1320,624,275
193,1932,624,295
192,1808,624,295
380,4011,624,298
229,2549,624,317
212,2031,624,321
175,1629,624,324
201,1910,624,337
230,2706,624,345
185,1806,624,348
212,2016,624,351
233,2668,624,352
208,1990,624,355
203,1968,624,373
205,2014,624,397
66,267,624,402
354,3698,624,409
346,3384,624,422
348,3797,624,429
231,2203,624,444
284,2820,624,448
284,2733,624,455
175,1523,624,483
277,2799,624,491
285,3327,624,498
393,4162,624,509
386,3674,624,525
361,3828,624,546
375,4077,624,553
391,4344,624,556
390,4199,624,589
330,3917,624,638
95,498,624,640
153,1186,624,696
365,4811,624,791
360,4674,624,848
735,10717,624,853
407,5248,624,1439
410,5543,624,2424
480,6579,624,2554
415,5897,624,2727
450,6189,624,2727
430,5556,624,2823
415,5471,624,3004
169,1393,624,65
215,2031,624,77
74,442,624,84
264,2513,624,87
95,595,624,124
119,904,624,133
134,1016,624,165
45,146,624,167
126,1189,624,176
102,449,624,181
77,300,624,182
104,771,624,198
127,987,624,202
270,2590,624,206
110,798,624,211
153,1320,624,212
160,1452,624,212
87,635,624,214
105,664,624,226
194,1932,624,232
101,666,624,237
378,4011,624,247
384,4184,624,247
386,3674,624,257
233,2706,624,259
361,3828,624,259
229,2549,624,261
190,1808,624,261
199,1910,624,288
175,1629,624,288
215,2016,624,307
145,1172,624,307
284,2733,624,322
203,1968,624,323
206,1990,624,324
190,1806,624,348
205,2014,624,355
282,2820,624,371
230,2203,624,381
346,3384,624,422
330,3917,624,457
389,4199,624,463
354,3698,624,481
178,1523,624,483
406,4347,624,497
388,4162,624,508
405,5624,624,524
375,4077,624,553
285,3327,624,557
233,2668,624,678
153,1186,624,696
277,2799,624,782
360,4674,624,804
735,10717,624,853
70,409,624,893
407,5248,624,1439
480,6579,624,2554
450,6189,624,2727
415,5897,624,2727
432,5543,624,2744
430,5556,624,2823
176,1393,624,62
74,442,624,84
258,2513,624,101
119,904,624,114
95,595,624,124
134,1016,624,134
229,2549,624,143
212,2031,624,146
45,146,624,149
120,987,624,152
90,323,624,155
209,1990,624,181
102,449,624,182
143,1172,624,189
108,771,624,198
259,2570,624,206
109,798,624,211
89,635,624,214
105,664,624,226
194,1932,624,232
101,666,624,237
384,4184,624,247
377,4011,624,247
153,1320,624,248
386,3674,624,257
361,3828,624,259
238,2706,624,259
188,1808,624,261
166,1452,624,274
175,1629,624,288
202,1910,624,288
205,2014,624,297
284,2733,624,322
202,1968,624,323
259,2739,624,326
190,1806,624,348
211,2016,624,351
233,2668,624,352
300,2662,624,355
354,3698,624,356
282,2820,624,371
231,2203,624,381
274,2799,624,395
342,3384,624,422
348,3797,624,439
283,3327,624,443
252,2813,624,446
391,4199,624,463
182,1523,624,483
406,4347,624,497
384,4162,624,508
252,2748,624,536
375,4077,624,553
95,498,624,559
365,4811,624,619
360,4674,624,693
284,3440,624,808
229,2514,624,843
735,10717,624,853
85,409,624,936
395,5248,624,1468
410,5543,624,2429
480,6579,624,2548
415,5897,624,2727
450,6189,624,2727
430,5556,624,2823
415,5471,624,3004
55,178,624,51
206,2031,624,77
176,1393,624,82
74,442,624,84
80,315,624,121
95,595,624,124
119,904,624,134
229,2549,624,142
127,987,624,151
126,1189,624,176
209,1990,624,181
92,300,624,182
258,2513,624,188
132,1172,624,189
100,535,624,192
95,449,624,205
264,2570,624,206
113,798,624,211
94,635,624,214
105,771,624,215
153,1320,624,227
101,666,624,237
102,664,624,244
384,4184,624,247
383,4199,624,247
198,1932,624,249
386,3674,624,257
361,3828,624,259
233,2706,624,261
190,1808,624,266
233,2668,624,288
130,1016,624,296
374,4011,624,296
205,2014,624,298
176,1629,624,311
213,2016,624,331
203,1968,624,347
185,1806,624,348
346,3698,624,357
205,1910,624,363
330,3917,624,371
280,2820,624,371
284,3327,624,388
161,1452,624,389
277,2799,624,395
231,2203,624,411
342,3384,624,422
348,3797,624,439
251,2813,624,446
284,2733,624,455
241,2662,624,462
179,1523,624,483
403,4347,624,497
393,4162,624,509
375,4077,624,553
365,4811,624,619
360,4674,624,693
153,1186,624,696
735,10717,624,853
395,5248,624,1468
410,5543,624,2424
480,6579,624,2548
450,6189,624,2727
415,5897,624,2727
430,5556,624,2823
415,5471,624,3004
271,2513,557,67
215,2031,557,77
29,73,557,83
74,442,557,84
174,1393,557,101
205,1990,557,112
119,904,557,114
95,595,557,124
229,2549,557,143
45,146,557,149
120,987,557,152
126,1189,557,177
134,1016,557,178
94,449,557,181
82,300,557,183
141,1172,557,189
104,771,557,199
259,2570,557,207
113,798,557,209
153,1320,557,212
90,635,557,214
194,1932,557,233
101,666,557,238
384,4184,557,247
104,664,557,248
386,3674,557,257
361,3828,557,259
206,1808,557,261
238,2706,557,261
175,1629,557,289
202,1910,557,289
233,2668,557,289
378,4011,557,296
205,2014,557,297
214,2016,557,307
160,1452,557,313
203,1968,557,324
330,3917,557,344
393,4162,557,348
185,1806,557,349
354,3698,557,356
282,2820,557,371
284,3327,557,388
277,2799,557,395
346,3384,557,422
348,3797,557,429
231,2203,557,444
391,4199,557,463
165,1523,557,483
406,4347,557,497
375,4077,557,553
365,4811,557,654
360,4674,557,656
153,1186,557,696
735,10717,557,853
70,409,557,893
395,5248,557,1468
410,5543,557,2424
480,6579,557,2548
450,6189,557,2727
415,5897,557,2727
430,5556,557,2823
95,595,557,36
119,904,557,41
74,442,557,41
173,1393,557,53
262,2513,557,53
205,2031,557,77
125,719,557,84
126,1189,557,88
101,666,557,104
209,1990,557,112
232,2706,557,121
108,771,557,133
122,987,557,133
102,449,557,136
229,2549,557,143
361,3828,557,146
110,798,557,147
145,1172,557,152
78,300,557,153
101,664,557,155
87,635,557,157
270,2590,557,174
139,1016,557,183
153,1320,557,187
284,2820,557,191
277,2799,557,196
193,1932,557,199
160,1452,557,212
192,1808,557,214
199,1910,557,215
175,1629,557,229
205,2016,557,238
386,3674,557,239
378,4011,557,247
389,4199,557,247
384,4184,557,247
233,2668,557,259
190,1806,557,271
205,2014,557,271
359,3698,557,273
203,1968,557,278
231,2203,557,303
404,4347,557,322
284,3327,557,327
375,4077,557,338
393,4162,557,348
330,3917,557,371
284,2733,557,396
342,3384,557,413
177,1523,557,426
348,3797,557,429
95,498,557,490
153,1186,557,677
360,4674,557,693
735,10717,557,853
407,5248,557,1439
410,5543,557,2424
415,5897,557,2727
450,6189,557,2727
430,5556,557,2823
415,5471,557,3004
95,595,557,36
119,904,557,41
74,442,557,41
173,1393,557,53
265,2513,557,53
55,178,557,63
202,2031,557,78
125,719,557,84
101,666,557,104
126,1189,557,108
230,2706,557,122
124,987,557,133
104,771,557,134
85,449,557,136
229,2549,557,143
113,798,557,146
143,1172,557,151
79,300,557,153
97,664,557,155
87,635,557,157
261,2570,557,174
205,1990,557,177
160,1452,557,186
153,1320,557,187
282,2820,557,191
194,1932,557,201
284,2733,557,209
192,1808,557,214
199,1910,557,216
176,1629,557,229
139,1016,557,235
214,2016,557,238
374,4011,557,247
384,4184,557,247
361,3828,557,258
233,2668,557,259
185,1806,557,271
205,2014,557,271
354,3698,557,273
203,1968,557,278
390,4199,557,302
400,4347,557,322
277,2799,557,323
284,3327,557,327
375,4077,557,338
388,4162,557,348
330,3917,557,355
346,3384,557,413
177,1523,557,426
280,6672,557,588
365,4811,557,619
231,2203,557,664
153,1186,557,677
360,4674,557,693
70,409,557,718
735,10717,557,853
407,5248,557,1439
410,5543,557,2424
480,6579,557,2548
415,5897,557,2727
450,6189,557,2727
430,5556,557,2823
95,595,557,36
74,442,557,41
119,904,557,42
172,1393,557,53
269,2513,557,53
212,2031,557,78
190,1806,557,87
101,666,557,114
230,2706,557,121
104,771,557,134
124,987,557,134
99,449,557,136
229,2549,557,143
149,1172,557,152
82,300,557,154
206,1990,557,155
99,638,557,155
94,635,557,157
270,2590,557,174
112,798,557,175
126,1189,557,176
282,2820,557,191
277,2799,557,196
200,1932,557,201
160,1452,557,211
153,1320,557,211
190,1808,557,213
205,1910,557,215
139,1016,557,235
211,2016,557,238
386,3674,557,239
384,4184,557,247
374,4011,557,247
361,3828,557,258
233,2668,557,261
205,2014,557,271
284,2733,557,273
359,3698,557,273
203,1968,557,278
176,1629,557,288
390,4199,557,302
406,4347,557,322
388,4162,557,348
342,3384,557,413
165,1523,557,426
348,3797,557,429
330,3917,557,457
284,3327,557,498
370,5132,557,539
375,4077,557,553
360,4674,557,656
231,2203,557,664
153,1186,557,677
70,409,557,718
735,10717,557,853
395,5248,557,1468
410,5543,557,2424
480,6579,557,2554
450,6189,557,2727
415,5897,557,2727
430,5556,557,2823
415,5471,557,3004
74,442,557,55
169,1393,557,55
258,2513,557,72
95,595,557,74
68,1384,557,85
119,904,557,94
206,2031,557,106
205,1990,557,113
230,2706,557,122
101,666,557,129
127,987,557,133
93,449,557,136
117,798,557,146
96,638,557,155
105,771,557,155
94,635,557,157
146,1172,557,171
84,323,557,172
265,2570,557,174
126,1189,557,175
175,1523,557,187
284,2820,557,189
277,2799,557,196
199,1932,557,201
187,1808,557,213
199,1910,557,216
229,2549,557,236
214,2016,557,238
386,3674,557,239
374,4011,557,247
384,4184,557,247
405,5624,557,250
361,3828,557,258
233,2668,557,261
185,1806,557,271
205,2014,557,271
359,3698,557,273
139,1016,557,276
203,1968,557,278
175,1629,557,288
389,4199,557,302
231,2203,557,303
330,3917,557,309
153,1320,557,313
411,4347,557,322
284,3327,557,327
375,4077,557,338
388,4162,557,348
284,2733,557,356
346,3384,557,413
160,1452,557,419
153,1186,557,677
360,4674,557,693
735,10717,557,853
395,5248,557,1468
410,5543,557,2424
480,6579,557,2548
450,6189,557,2727
415,5897,557,2727
424,5556,557,2823
95,595,557,36
119,904,557,41
74,442,557,41
171,1393,557,53
262,2513,557,53
212,2031,557,78
101,666,557,114
232,2706,557,121
206,1990,557,131
104,771,557,134
127,987,557,134
87,323,557,134
107,449,557,136
229,2549,557,143
112,798,557,146
140,1172,557,152
229,2514,557,155
107,664,557,155
94,635,557,157
270,2590,557,174
126,1189,557,176
149,1320,557,187
172,1523,557,187
282,2820,557,189
274,2799,557,196
200,1932,557,201
284,2733,557,211
190,1808,557,214
204,1910,557,216
176,1629,557,229
145,1016,557,235
211,2016,557,238
386,3674,557,239
384,4184,557,247
377,4011,557,247
233,2668,557,261
284,3440,557,265
205,2014,557,271
190,1806,557,271
354,3698,557,273
202,1968,557,278
252,2748,557,297
389,4199,557,302
231,2203,557,303
260,2739,557,311
413,4347,557,322
284,3327,557,327
375,4077,557,338
384,4162,557,348
300,2662,557,355
165,1452,557,362
248,2813,557,392
95,498,557,396
342,3384,557,413
348,3797,557,439
361,3828,557,497
300,3917,557,568
495,5132,557,595
365,4811,557,654
360,4674,557,693
735,10717,557,853
395,5248,557,1468
410,5543,557,2429
480,6579,557,2554
415,5897,557,2727
450,6189,557,2727
424,5556,557,2823
415,5471,557,3004
120,904,557,51
171,1393,557,55
74,442,557,55
95,595,557,74
185,1806,557,87
123,719,557,98
261,2513,557,101
215,2031,557,106
230,2706,557,121
126,1189,557,128
105,666,557,131
208,1990,557,131
122,987,557,133
105,771,557,134
94,449,557,136
229,2549,557,143
138,1172,557,151
104,664,557,155
90,635,557,157
89,323,557,171
270,2590,557,173
112,798,557,175
138,1016,557,183
172,1523,557,187
153,1320,557,187
284,2820,557,189
284,2733,557,211
161,1452,557,211
190,1808,557,214
201,1910,557,215
176,1629,557,231
198,1932,557,232
205,2016,557,239
373,3674,557,241
384,4184,557,247
380,4011,557,248
233,2668,557,261
205,2014,557,271
346,3698,557,273
203,1968,557,279
391,4199,557,302
231,2203,557,304
391,4344,557,322
277,2799,557,323
283,3327,557,328
388,4162,557,348
73,498,557,391
251,2813,557,393
375,4077,557,402
320,3384,557,413
241,2662,557,418
336,3797,557,439
361,3828,557,497
330,3917,557,503
495,5132,557,539
365,4811,557,619
360,4674,557,656
144,1186,557,677
285,3850,557,678
735,10717,557,853
395,5248,557,1468
665,8818,557,1865
410,5543,557,2429
480,6579,557,2548
450,6189,557,2727
415,5897,557,2727
430,5556,557,2823
415,5471,557,3004
93,595,526,36
74,442,526,41
120,904,526,42
253,2513,526,55
171,1393,526,55
277,2799,526,59
202,2031,526,78
68,1384,526,84
185,1806,526,86
126,1189,526,88
208,1990,526,112
105,666,526,114
232,2706,526,121
105,771,526,134
120,987,526,134
102,449,526,136
229,2549,526,143
361,3828,526,146
110,798,526,146
144,1172,526,151
84,300,526,154
97,638,526,155
380,4011,526,156
87,635,526,156
270,2590,526,173
153,1320,526,186
169,1523,526,187
284,2820,526,191
196,1932,526,201
393,4162,526,202
197,1808,526,213
176,1629,526,231
129,1016,526,235
211,2016,526,238
373,3674,526,239
384,4184,526,248
205,1910,526,249
233,2668,526,259
